Id,MSZoning,Neighborhood,Street,LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SaleCondition,SalePrice
1,RL,CollgCr,Pave,8450,7,5,2003,1710,3,2,8,2,548,Normal,208500
2,RL,Veenker,Pave,9600,6,8,1976,1262,3,2,6,2,460,Normal,181500
3,RL,CollgCr,Pave,11250,7,5,2001,1786,3,2,6,2,608,Normal,223500
4,RL,Crawfor,Pave,9550,7,5,1915,1717,3,1,7,3,642,Abnorml,140000
5,RL,NoRidge,Pave,14260,8,5,2000,2198,4,2,9,3,836,Normal,250000
6,RL,Mitchel,Pave,14115,5,5,1993,1362,1,1,5,2,480,Normal,143000
7,RL,Somerst,Pave,10084,8,5,2004,1694,3,2,7,2,636,Normal,307000
8,RL,NWAmes,Pave,10382,7,6,1973,2090,3,2,7,2,484,Normal,200000
9,RM,OldTown,Pave,6120,7,5,1931,1774,2,2,8,2,468,Abnorml,129900
10,RL,BrkSide,Pave,7420,5,6,1939,1077,2,1,5,1,205,Normal,118000
11,RL,Sawyer,Pave,11200,5,5,1965,1040,3,1,5,1,384,Normal,129500
13,RL,Sawyer,Pave,12968,5,6,1962,912,2,1,4,1,352,Normal,144000
14,RL,CollgCr,Pave,10652,7,5,2006,1494,3,2,7,3,840,Partial,279500
15,RL,NAmes,Pave,10920,6,5,1960,1253,2,1,5,1,352,Normal,157000
16,RM,BrkSide,Pave,6120,7,8,1929,854,2,1,5,2,576,Normal,132000
17,RL,NAmes,Pave,11241,6,7,1970,1004,2,1,5,2,480,Normal,149000
18,RL,Sawyer,Pave,10791,4,5,1967,1296,2,2,6,2,516,Normal,90000
19,RL,SawyerW,Pave,13695,5,5,2004,1114,3,1,6,2,576,Normal,159000
20,RL,NAmes,Pave,7560,5,6,1958,1339,3,1,6,1,294,Abnorml,139000
22,RM,IDOTRR,Pave,7449,7,7,1930,1108,3,1,6,1,280,Normal,139400
23,RL,CollgCr,Pave,9742,8,5,2002,1795,3,2,7,2,534,Normal,230000
24,RM,MeadowV,Pave,4224,5,7,1976,1060,3,1,6,2,572,Normal,129900
25,RL,Sawyer,Pave,8246,5,8,1968,1060,3,1,6,1,270,Normal,154000
26,RL,NridgHt,Pave,14230,8,5,2007,1600,3,2,7,3,890,Normal,256300
27,RL,NAmes,Pave,7200,5,7,1951,900,3,1,5,2,576,Normal,134800
28,RL,NridgHt,Pave,11478,8,5,2007,1704,3,2,7,3,772,Normal,306000
29,RL,NAmes,Pave,16321,5,6,1957,1600,2,1,6,1,319,Normal,207500
30,RM,BrkSide,Pave,6324,4,6,1927,520,1,1,4,1,240,Normal,68500
31,C (all),IDOTRR,Pave,8500,4,4,1920,1317,3,1,6,1,250,Normal,40000
32,RL,Sawyer,Pave,8544,5,6,1966,1228,3,1,6,1,271,Normal,149350
33,RL,CollgCr,Pave,11049,8,5,2007,1234,3,2,7,2,484,Normal,179900
34,RL,NAmes,Pave,10552,5,5,1959,1700,4,1,6,2,447,Normal,165500
35,RL,NridgHt,Pave,7313,9,5,2005,1561,2,2,6,2,556,Normal,277500
36,RL,NridgHt,Pave,13418,8,5,2004,2452,4,3,9,3,691,Normal,309000
37,RL,CollgCr,Pave,10859,5,5,1994,1097,3,1,6,2,672,Normal,145000
38,RL,NAmes,Pave,8532,5,6,1954,1297,3,1,5,2,498,Normal,153000
39,RL,NAmes,Pave,7922,5,7,1953,1057,3,1,5,1,246,Abnorml,109000
40,RL,Edwards,Pave,6040,4,5,1955,1152,2,2,6,0,0,AdjLand,82000
41,RL,NAmes,Pave,8658,6,5,1965,1324,3,2,6,2,440,Abnorml,160000
42,RL,Timber,Pave,16905,5,6,1959,1328,2,1,5,1,308,Normal,170000
43,RL,SawyerW,Pave,9180,5,7,1983,884,2,1,5,2,504,Normal,144000
44,RL,CollgCr,Pave,9200,5,6,1975,938,3,1,5,1,308,Normal,130250
45,RL,NAmes,Pave,7945,5,6,1959,1150,3,1,6,1,300,Normal,141000
47,RL,Mitchel,Pave,12822,7,5,2003,2149,1,1,6,2,670,Abnorml,239686
48,FV,Somerst,Pave,11096,8,5,2006,1656,3,2,7,3,826,Normal,249700
49,RM,OldTown,Pave,4456,4,5,1920,1452,2,2,8,0,0,Partial,113000
50,RL,Sawyer,Pave,7742,5,7,1966,955,3,1,6,1,386,Normal,127000
51,RL,Gilbert,Pave,13869,6,6,1997,1470,3,2,6,2,388,Normal,177000
52,RM,BrkSide,Pave,6240,6,6,1934,1176,3,1,6,2,528,Normal,114500
53,RM,IDOTRR,Grvl,8472,5,5,1963,816,2,1,5,2,516,Normal,110000
55,RL,NAmes,Pave,7134,5,5,1955,1360,3,1,6,2,572,Normal,130000
56,RL,NAmes,Pave,10175,6,5,1964,1425,3,2,7,2,576,Normal,180500
57,FV,Somerst,Pave,2645,8,5,1999,1739,3,2,7,2,480,Abnorml,172500
58,RL,CollgCr,Pave,11645,7,5,2004,1720,3,2,7,2,565,Normal,196500
60,RL,CollgCr,Pave,7200,5,7,1972,780,2,1,4,1,352,Normal,124900
61,RL,SawyerW,Pave,13072,6,5,2004,1158,3,1,5,2,576,Partial,158000
62,RM,IDOTRR,Pave,7200,5,7,1920,1111,3,1,6,1,288,Normal,101000
63,RL,NridgHt,Pave,6442,8,5,2006,1370,2,2,6,2,484,Normal,202500
64,RM,OldTown,Pave,10300,7,6,1921,1710,3,2,9,2,480,Normal,140000
65,RL,CollgCr,Pave,9375,7,5,1997,2034,3,2,8,2,645,Normal,219500
66,RL,NridgHt,Pave,9591,8,5,2004,2473,4,2,9,3,852,Normal,317000
68,RL,CollgCr,Pave,10665,7,5,2003,1479,3,2,7,2,558,Normal,226000
69,RM,OldTown,Pave,4608,4,6,1945,747,2,1,4,1,220,Normal,80000
70,RL,ClearCr,Pave,15593,7,4,1953,2287,3,2,7,2,667,Normal,225000
71,RL,NAmes,Pave,13651,7,6,1973,2223,3,2,8,2,516,Normal,244000
72,RL,Mitchel,Pave,7599,4,6,1982,845,2,1,4,2,360,Normal,129500
73,RL,Gilbert,Pave,10141,7,5,1998,1718,3,2,7,2,427,Normal,185000
74,RL,NAmes,Pave,10200,5,7,1954,1086,3,1,6,2,490,Normal,144900
75,RM,OldTown,Pave,5790,3,6,1915,1605,3,2,8,1,379,Normal,107400
76,RM,MeadowV,Pave,1596,4,5,1973,988,2,1,5,1,297,Normal,91000
77,RL,NAmes,Pave,8475,4,7,1956,952,2,1,4,1,283,Normal,135750
78,RM,BrkSide,Pave,8635,5,5,1948,1285,2,1,6,1,240,Normal,127000
79,RL,Sawyer,Pave,10778,4,5,1968,1768,4,2,8,0,0,Normal,136500
80,RM,OldTown,Pave,10440,5,6,1910,1230,2,1,5,2,440,Normal,110000
81,RL,NAmes,Pave,13000,6,6,1968,2142,4,2,8,1,509,Normal,193500
82,RM,Mitchel,Pave,4500,6,5,1998,1337,2,2,5,2,405,Normal,153500
83,RL,Somerst,Pave,10206,8,5,2007,1563,3,2,6,3,758,Normal,245000
84,RL,NAmes,Pave,8892,5,5,1960,1065,3,1,6,2,461,Normal,126500
85,RL,Gilbert,Pave,8530,7,5,1995,1474,3,2,7,2,400,Normal,168500
86,RL,NoRidge,Pave,16059,8,5,1991,2417,4,2,9,2,462,Normal,260000
87,RL,Gilbert,Pave,11911,6,5,2005,1560,3,2,6,2,400,Normal,174000
88,FV,Somerst,Pave,3951,6,5,2009,1224,2,2,4,2,528,Partial,164500
89,C (all),IDOTRR,Pave,8470,3,2,1915,1526,2,1,6,0,0,Abnorml,85000
90,RL,CollgCr,Pave,8070,4,5,1994,990,3,1,5,0,0,Normal,123600
91,RL,NAmes,Pave,7200,4,5,1950,1040,2,1,4,2,420,Normal,109900
92,RL,NAmes,Pave,8500,5,3,1961,1235,2,1,6,2,480,Abnorml,98600
93,RL,Crawfor,Pave,13360,5,7,1921,964,2,1,5,2,432,Normal,163500
94,C (all),OldTown,Pave,7200,6,6,1910,2291,4,2,9,2,506,Normal,133900
95,RL,CollgCr,Pave,9337,6,5,1997,1786,3,2,7,2,684,Normal,204750
96,RL,Gilbert,Pave,9765,6,8,1993,1470,3,2,6,2,420,Normal,185000
97,RL,CollgCr,Pave,10264,7,5,1999,1588,3,2,6,2,472,Normal,214000
98,RL,Edwards,Pave,10921,4,5,1965,960,3,1,6,1,432,Normal,94750
99,RL,Edwards,Pave,10625,5,5,1920,835,2,1,5,1,366,Abnorml,83000
100,RL,NAmes,Pave,9320,4,5,1959,1225,3,1,6,0,0,Normal,128950
101,RL,NWAmes,Pave,10603,6,7,1977,1610,3,2,6,2,480,Normal,205000
102,RL,SawyerW,Pave,9206,6,5,1985,1732,3,2,7,2,476,Normal,178000
103,RL,SawyerW,Pave,7018,5,5,1979,1535,4,2,8,2,410,Alloca,118964
104,RL,CollgCr,Pave,10402,7,5,2009,1226,3,2,6,3,740,Normal,198900
105,RM,IDOTRR,Pave,7758,7,4,1931,1818,4,1,7,1,240,Normal,169500
106,FV,Somerst,Pave,9375,8,5,2003,1992,3,2,9,2,648,Normal,250000
107,RM,OldTown,Pave,10800,4,7,1885,1047,2,1,6,1,273,Normal,100000
108,RM,OldTown,Pave,6000,5,5,1948,789,2,1,5,1,250,Partial,115000
109,RM,IDOTRR,Pave,8500,5,7,1919,1517,3,2,7,0,0,Normal,115000
110,RL,NWAmes,Pave,11751,6,6,1977,1844,3,2,7,2,546,Normal,190000
111,RL,Edwards,Pave,9525,6,4,1954,1855,4,2,7,1,325,Normal,136900
112,RL,Gilbert,Pave,7750,7,5,2000,1430,3,2,7,2,400,Normal,180000
115,RL,Crawfor,Pave,7259,6,8,1945,2320,3,2,9,1,180,Normal,259500
116,FV,Somerst,Pave,3230,6,5,1999,1458,2,2,5,2,440,Normal,176000
117,RL,Sawyer,Pave,11616,5,5,1962,1092,3,1,6,1,288,Normal,139000
118,RL,Edwards,Pave,8536,5,5,2006,1125,2,1,5,2,430,Partial,155000
120,RL,CollgCr,Pave,8461,6,5,2005,1456,3,2,8,2,390,Partial,163990
122,RM,IDOTRR,Pave,6060,4,5,1939,1123,3,1,4,1,264,Normal,100000
123,RL,NAmes,Pave,9464,6,7,1958,1080,3,1,5,1,288,Normal,136000
124,RL,SawyerW,Pave,7892,6,5,1993,1199,2,2,5,2,530,Normal,153900
125,RL,NWAmes,Pave,17043,6,5,1979,1586,3,2,7,2,435,Normal,181000
126,RM,IDOTRR,Pave,6780,6,8,1935,754,2,1,5,0,0,Normal,84500
127,RL,NPkVill,Pave,4928,6,5,1976,958,2,2,5,2,440,Normal,128000
128,RM,OldTown,Pave,4388,5,7,1930,840,3,1,5,0,0,Normal,87000
129,RL,NAmes,Pave,7590,6,5,1966,1348,3,1,6,2,453,Normal,155000
130,RL,NAmes,Pave,8973,5,7,1958,1053,3,1,6,2,750,Abnorml,150000
131,RL,NAmes,Pave,14200,7,6,1966,2157,4,2,8,2,487,Normal,226000
132,RL,Gilbert,Pave,12224,6,5,2000,2054,3,2,7,2,390,Normal,244000
133,RL,NAmes,Pave,7388,5,6,1959,1327,3,1,7,2,624,Normal,150750
134,RL,Timber,Pave,6853,8,5,2001,1296,2,2,6,2,471,Normal,220000
135,RL,Sawyer,Pave,10335,5,6,1968,1721,3,2,7,2,440,Normal,180000
136,RL,NWAmes,Pave,10400,7,6,1970,1682,3,2,7,2,530,Normal,174000
137,RL,NAmes,Pave,10355,5,5,1967,1214,3,2,5,1,318,Normal,143000
138,RL,Mitchel,Pave,11070,7,5,1988,1959,5,3,9,3,766,Family,171000
139,RL,CollgCr,Pave,9066,8,5,1999,1852,3,2,7,3,660,Normal,230000
140,RL,CollgCr,Pave,15426,6,5,1997,1764,3,2,7,2,470,Normal,231500
141,RL,NAmes,Pave,10500,4,5,1971,864,3,1,5,0,0,Normal,115000
142,RL,CollgCr,Pave,11645,7,5,2005,1734,3,2,7,2,660,Normal,260000
143,RL,NAmes,Pave,8520,5,4,1952,1385,4,2,6,2,720,Normal,166000
144,RL,CollgCr,Pave,10335,7,5,1999,1501,3,2,6,2,577,Normal,204000
145,RM,Sawyer,Pave,9100,5,5,1963,1728,6,2,10,2,504,Abnorml,125000
146,RM,Edwards,Pave,2522,6,5,2004,1709,3,2,7,2,380,Normal,130000
147,RM,BrkSide,Pave,6120,5,7,1931,875,2,1,5,1,180,Normal,105000
148,RL,Gilbert,Pave,9505,7,5,2001,2035,3,2,8,2,434,Normal,222500
149,RL,SawyerW,Pave,7500,7,5,2004,1080,3,1,6,0,0,Normal,141000
150,RM,BrkSide,Pave,6240,5,4,1936,1344,3,1,7,1,240,Normal,115000
151,RL,CollgCr,Pave,10356,5,6,1975,969,3,1,5,2,440,Normal,122000
153,RL,NWAmes,Pave,14803,6,5,1971,1993,4,2,8,2,495,Normal,190000
154,RL,ClearCr,Pave,13500,6,7,1960,1252,1,1,4,2,564,Normal,235000
155,RM,OldTown,Pave,11340,6,5,1923,1200,4,1,7,1,312,Family,125000
156,RL,Edwards,Pave,9600,6,5,1924,1096,2,1,5,0,0,Normal,79000
157,RL,NAmes,Pave,7200,5,7,1950,1040,2,1,5,2,625,Normal,109500
158,RL,Timber,Pave,12003,8,5,2009,1968,4,2,8,3,680,Partial,269500
159,FV,Somerst,Pave,12552,7,5,2004,1947,3,2,8,2,678,Normal,254900
161,RL,Veenker,Pave,11120,6,6,1984,1232,3,2,6,2,516,Normal,162500
163,RL,NridgHt,Pave,12182,7,5,2005,1541,3,2,7,2,532,Partial,220000
164,RL,OldTown,Pave,5500,4,6,1956,882,1,1,4,0,0,Normal,103200
165,RM,OldTown,Pave,5400,6,7,1926,1616,3,2,5,1,216,Normal,152000
166,RL,Edwards,Pave,10106,5,7,1940,1355,4,2,6,0,0,Normal,127500
167,RL,ClearCr,Pave,10708,5,5,1955,1867,2,1,7,1,303,Normal,190000
169,RL,Gilbert,Pave,8244,7,5,2004,1720,3,2,7,2,440,Normal,183500
170,RL,Timber,Pave,16669,8,6,1981,1707,2,2,6,2,511,Normal,228000
171,RM,OldTown,Pave,12358,5,6,1941,1382,2,1,7,2,660,Normal,128500
173,RL,StoneBr,Pave,5306,7,7,1987,1767,2,2,5,2,504,Normal,239000
174,RL,NAmes,Pave,10197,6,5,1961,1362,3,1,6,2,504,Normal,163000
175,RL,Timber,Pave,12416,6,5,1986,1651,3,2,7,2,616,Normal,184000
176,RL,Edwards,Pave,12615,6,7,1950,2158,4,2,7,2,576,Normal,243000
177,RL,ClearCr,Pave,10029,6,5,1988,2060,4,2,8,2,521,Normal,211000
178,RL,Sawyer,Pave,13650,5,5,1958,1920,4,2,8,2,451,Normal,172500
180,RM,OldTown,Pave,8520,5,6,1923,968,2,1,5,2,480,Normal,100000
181,FV,Somerst,Pave,2117,6,5,2000,1525,3,2,5,2,440,Normal,177000
182,RL,Crawfor,Pave,7588,7,6,1920,1802,4,1,9,1,216,Normal,200100
183,RL,Edwards,Pave,9060,5,6,1957,1340,3,1,7,1,252,Normal,120000
184,RM,OldTown,Pave,11426,7,5,2003,2082,3,2,6,2,484,Normal,200000
185,RL,BrkSide,Pave,7438,5,8,1908,1252,3,1,5,2,576,Normal,127000
187,RL,Mitchel,Pave,9947,7,5,1990,1217,3,2,6,2,497,Normal,173000
188,RL,OldTown,Pave,10410,5,7,1916,1656,3,2,8,1,180,Normal,135000
189,RL,SawyerW,Pave,7018,5,5,1979,1224,2,0,6,2,528,Alloca,153337
190,RL,StoneBr,Pave,4923,8,5,2001,1593,0,1,5,2,682,Normal,286000
192,RL,NAmes,Pave,7472,7,9,1972,1479,4,1,7,2,484,Normal,184000
193,RL,CollgCr,Pave,9017,7,5,1999,1431,3,2,6,2,666,Normal,192000
194,RM,Edwards,Pave,2522,7,5,2004,1709,3,2,7,2,380,Normal,130000
195,RL,CollgCr,Pave,7180,5,7,1972,864,3,1,5,1,352,Normal,127000
196,RL,NPkVill,Pave,2280,6,6,1976,1456,3,2,7,2,440,Normal,148500
197,RL,Somerst,Pave,9416,7,5,2007,1726,3,2,8,3,786,Partial,311872
199,RM,OldTown,Pave,5520,6,6,1912,2229,5,1,8,0,0,Abnorml,104000
200,RL,NridgHt,Pave,9591,8,5,2004,1713,3,2,7,3,856,Normal,274900
201,RM,Edwards,Pave,8546,4,5,2003,1121,2,2,5,2,440,Normal,140000
202,RL,Mitchel,Pave,10125,6,6,1977,1279,3,2,6,2,473,Normal,171500
203,RL,OldTown,Pave,7000,6,6,1924,1310,2,2,6,1,398,Normal,112000
204,RM,CollgCr,Pave,4438,6,5,2004,848,1,1,3,2,420,Normal,149000
205,RM,OldTown,Pave,3500,5,7,1947,1284,2,1,5,1,240,Normal,110000
206,RL,Gilbert,Pave,11851,7,5,1990,1442,3,2,5,2,500,Normal,180500
207,RL,Sawyer,Pave,13673,5,5,1962,1696,3,1,8,1,349,Normal,143900
208,RL,NAmes,Pave,12493,4,5,1960,1100,3,1,6,1,312,Normal,141000
209,RL,SawyerW,Pave,14364,7,5,1988,2062,3,2,7,2,454,Normal,277000
210,RL,NAmes,Pave,8250,6,7,1964,1092,3,1,6,2,504,Normal,145000
211,RL,Edwards,Pave,5604,5,6,1925,864,2,1,5,0,0,Normal,98000
212,RL,Edwards,Pave,10420,6,5,2009,1212,3,2,6,2,460,Normal,186000
213,FV,Somerst,Pave,8640,7,5,2009,1852,3,2,7,2,644,Partial,252678
214,RL,CollgCr,Pave,13568,5,5,1995,990,3,1,5,2,576,Normal,156000
215,RL,CollgCr,Pave,10900,6,7,1977,1392,3,1,6,1,299,Normal,161750
216,RL,NAmes,Pave,10011,5,6,1957,1236,2,1,6,1,447,Normal,134450
217,RL,CollgCr,Pave,8450,7,5,2004,1436,3,2,8,2,484,Normal,210000
218,RM,OldTown,Pave,9906,4,4,1925,1328,3,1,8,1,210,Family,107000
219,RL,Crawfor,Pave,15660,7,9,1939,1954,3,1,8,2,431,Normal,311500
220,RL,Blmngtn,Pave,3010,7,5,2005,1248,2,2,5,2,438,Partial,167240
221,RL,CollgCr,Pave,8990,7,5,2006,1498,2,2,5,2,675,Partial,204900
222,RL,Gilbert,Pave,8068,6,5,2002,2267,4,2,8,2,390,Normal,200000
223,RL,NWAmes,Pave,11475,6,6,1975,1552,3,2,6,2,434,Normal,179900
224,RL,NAmes,Pave,10500,4,6,1971,864,2,1,4,2,576,Abnorml,97000
226,RM,BrDale,Pave,1680,5,5,1971,1302,3,2,6,1,280,Abnorml,112000
227,RL,NoRidge,Pave,9950,7,5,1995,2520,4,2,9,3,721,Abnorml,290000
228,RM,BrDale,Pave,1869,6,6,1970,987,2,1,5,1,280,Normal,106000
229,RL,Sawyer,Pave,8521,5,5,1967,912,3,1,5,1,336,Normal,125000
230,RL,Blmngtn,Pave,3182,7,5,2005,1555,2,2,7,2,430,Normal,192500
231,RL,NAmes,Pave,8760,6,6,1959,1194,3,1,6,1,312,Normal,148000
233,RM,BrDale,Pave,1680,6,5,1972,987,2,1,5,1,288,Normal,94500
234,RL,CollgCr,Pave,10650,5,6,1976,894,3,1,5,1,308,Normal,128200
235,RL,Gilbert,Pave,7851,6,5,2002,1960,4,2,8,2,440,Normal,216500
236,RM,BrDale,Pave,1680,6,3,1971,987,2,1,5,1,264,Normal,89500
237,RL,CollgCr,Pave,8773,7,5,2004,1414,3,2,6,2,494,Normal,185500
238,RL,SawyerW,Pave,9453,7,7,1993,1744,3,2,7,2,457,Normal,194500
239,RL,NridgHt,Pave,12030,8,5,2007,1694,3,2,7,3,818,Partial,318000
240,RL,Edwards,Pave,8741,6,4,1945,1487,3,1,7,1,220,Normal,113000
241,FV,Somerst,Pave,9000,8,5,2008,1566,3,2,7,2,750,Normal,262500
242,RM,OldTown,Pave,3880,5,9,1945,866,2,1,4,0,0,Normal,110500
243,RM,OldTown,Pave,5000,5,4,1900,1440,3,1,6,1,352,Normal,79000
244,RL,SawyerW,Pave,10762,6,6,1980,1217,3,1,6,1,288,Normal,120000
245,RL,SawyerW,Pave,8880,7,5,1994,2110,3,2,8,2,463,Normal,205000
246,RL,NWAmes,Pave,10400,7,5,1988,1872,3,2,6,2,604,Normal,241500
247,RM,OldTown,Pave,9142,6,8,1910,1928,4,2,9,1,440,Normal,137000
248,RL,NAmes,Pave,11310,6,5,1954,1375,2,1,5,2,451,Normal,140000
249,RL,CollgCr,Pave,11317,7,5,2003,1668,3,2,8,2,500,Normal,180000
251,RL,BrkSide,Pave,5350,3,2,1940,1306,3,1,6,0,0,Normal,76500
252,RM,Crawfor,Pave,4750,8,5,2006,1625,2,2,5,2,538,Family,235000
253,RL,SawyerW,Pave,8366,6,5,2004,1640,3,2,6,2,520,Normal,173000
254,RL,NAmes,Pave,9350,6,7,1964,1302,3,2,7,1,309,Normal,158000
255,RL,NAmes,Pave,8400,5,6,1957,1314,3,1,5,1,294,Normal,145000
256,RL,Gilbert,Pave,8738,7,5,1999,2291,4,2,8,2,429,Normal,230000
257,FV,Somerst,Pave,8791,6,5,2003,1728,3,2,7,2,673,Normal,207500
258,RL,CollgCr,Pave,8814,7,5,2006,1604,3,2,8,2,660,Abnorml,220000
259,RL,CollgCr,Pave,12435,7,5,2001,1792,3,2,7,2,564,Normal,231500
260,RM,OldTown,Pave,12702,5,5,1956,882,2,1,4,1,308,Normal,97000
262,RL,CollgCr,Pave,9588,8,5,2007,2574,3,2,10,3,868,Partial,276000
263,RL,Sawyer,Pave,8471,6,7,1977,1212,3,1,6,2,492,Normal,151000
264,RM,OldTown,Pave,5500,5,7,1929,1316,3,1,6,2,484,Normal,130000
265,RM,OldTown,Pave,5232,5,5,1925,764,2,1,4,2,504,Normal,73000
266,RL,NWAmes,Pave,12090,6,6,1981,1422,3,2,7,2,576,Normal,175500
267,RL,Gilbert,Pave,11207,6,5,1997,1511,3,2,8,2,413,Normal,185000
268,RL,SWISU,Pave,8400,5,8,1939,2192,4,2,8,1,240,Normal,179500
269,RM,IDOTRR,Pave,6900,5,6,1940,778,2,1,4,1,924,Normal,120500
270,RL,Edwards,Pave,7917,6,7,1976,1113,3,1,6,1,504,Normal,148000
273,RL,NoRidge,Pave,11764,8,7,1999,2270,4,2,9,3,671,Normal,290000
274,RL,NAmes,Pave,9600,6,6,1958,1632,3,2,6,1,338,Normal,139000
275,RL,Mitchel,Pave,8314,5,7,1982,816,2,1,5,1,264,Normal,124500
276,RL,BrkSide,Pave,7264,7,7,1925,1548,3,2,5,2,672,Normal,205000
277,RL,Mitchel,Pave,9196,7,5,2003,1560,3,2,7,2,573,Normal,201000
280,RL,ClearCr,Pave,10005,7,5,1977,2022,4,2,8,2,505,Normal,192000
281,RL,SawyerW,Pave,11287,7,6,1989,1982,3,2,7,2,575,Normal,228500
282,FV,Somerst,Pave,7200,6,5,2006,1262,2,2,5,2,572,Partial,185000
283,RL,NridgHt,Pave,5063,7,5,2007,1314,2,2,6,2,626,Normal,207500
284,RL,Somerst,Pave,9612,8,5,2008,1468,3,2,6,3,898,Partial,244600
285,RL,SawyerW,Pave,8012,6,5,1992,1575,2,2,5,2,529,Normal,179200
